layer,head,atp_score,impact_score
31,5,0.07379150390625,1.6640625
7,17,0.01522064208984375,0.09375
7,23,0.015106201171875,0.0703125
16,29,0.01971435546875,0.8125
21,13,0.0148773193359375,0.1015625
30,0,0.032012939453125,0.0234375
22,17,0.01751708984375,-0.0859375
14,16,0.01629638671875,0.40625
17,6,0.039031982421875,-0.046875
4,21,0.01456451416015625,0.0546875
9,8,0.01360321044921875,0.3125
12,31,0.0198211669921875,-0.1640625
9,17,0.067626953125,0.3984375
11,14,0.0203704833984375,0.1953125
16,4,0.042022705078125,-0.171875
28,30,0.0248870849609375,-0.0078125
10,18,0.0192718505859375,0.0390625
17,27,0.0160980224609375,0.546875
30,24,0.01560211181640625,0.8359375
8,30,0.01363372802734375,0.1875
29,1,0.04522705078125,0.6328125
26,8,0.01433563232421875,-0.3203125
31,1,0.0168609619140625,0.4921875
15,23,0.0186004638671875,-0.3203125
14,0,0.01983642578125,0.1875
29,25,0.01444244384765625,-0.2421875
12,6,0.061065673828125,0.515625
8,5,0.016571044921875,-0.2109375
19,11,0.0272064208984375,-0.6796875
8,11,0.0216522216796875,0.125
8,23,0.027252197265625,0.2265625
15,4,0.02423095703125,-0.015625
9,22,0.033233642578125,0.4375
26,4,0.01499176025390625,0.3671875
13,7,0.01300811767578125,-0.3828125
15,25,0.02215576171875,-0.4609375
13,31,0.04754638671875,0.3359375
14,2,0.012939453125,-0.234375
7,18,0.0286102294921875,-0.171875
16,27,0.03466796875,-0.8515625
9,0,0.039093017578125,0.5078125
31,24,0.0264739990234375,0.1875
5,5,0.0197296142578125,-0.015625
9,6,0.0140228271484375,-0.1015625
9,12,0.0157012939453125,0.3359375
13,3,0.0127105712890625,-0.0859375
15,6,0.030364990234375,0.28125
11,15,0.015411376953125,0.21875
17,31,0.0154876708984375,-0.078125
13,18,0.018585205078125,0.296875
