,id,FIB,QA,MCQ
0,0,10.0546875,0.640625,1.4375
1,0,7.0546875,-1.140625,1.4375
2,0,5.6328125,-1.421875,0.078125
3,0,10.4921875,0.7578125,2.921875
4,0,7.3984375,-0.90625,-0.03125
5,0,5.328125,1.203125,0.9375
6,0,7.53125,0.46875,0.25
7,0,6.03125,-0.203125,-0.796875
8,8,11.4140625,1.109375,0.546875
9,8,8.90625,2.0234375,1.640625
10,8,9.125,0.828125,1.421875
11,8,7.046875,-1.578125,-0.09375
12,8,5.546875,-3.09375,0.375
13,8,9.2265625,2.390625,1.78125
14,8,8.3046875,-0.765625,0.109375
15,8,4.421875,-0.109375,0.40625
16,16,6.3828125,1.03125,0.28125
17,16,-0.9453125,-1.9375,0.296875
18,16,5.375,-3.9765625,0.0
19,16,1.40625,0.171875,-0.296875
20,16,-4.03125,-1.4609375,-0.34375
21,16,3.28125,-1.0625,0.4375
22,16,7.546875,-4.515625,-0.953125
23,16,8.5703125,-3.5625,-0.1875
24,24,10.5625,1.390625,1.90625
25,24,3.2421875,-1.15625,0.453125
26,24,9.4296875,1.65625,1.421875
27,24,6.703125,0.4375,0.953125
28,24,5.53125,-2.0625,-0.0625
29,24,5.28125,-3.0859375,0.265625
30,24,6.65625,-0.34375,0.953125
31,24,2.25,-2.5703125,-0.125
32,32,6.34375,0.65625,1.421875
33,32,6.609375,-1.90625,-0.359375
34,32,3.578125,-1.375,0.578125
35,32,3.84375,-2.546875,-0.078125
36,32,6.5625,-1.09375,-0.25
37,32,5.375,-1.75,-0.21875
38,32,1.25,-0.8359375,-0.359375
39,32,0.5234375,-1.359375,-0.015625
40,40,4.6328125,-2.046875,-0.53125
41,40,3.3671875,-2.7265625,0.09375
42,40,3.6171875,-1.015625,-0.109375
43,40,0.3984375,-2.8828125,-0.015625
44,40,0.3515625,0.859375,0.671875
45,40,2.4375,-1.375,-0.328125
46,40,3.515625,-3.15625,-0.703125
47,40,2.265625,-3.9140625,0.328125
48,48,3.84375,0.9375,0.546875
49,48,3.09375,-2.75,0.0625
50,48,-0.9375,-1.0,-0.40625
51,48,5.9765625,-0.53125,0.828125
52,48,7.125,-0.3125,0.75
53,48,3.7578125,0.5,-0.03125
54,48,5.984375,-3.578125,-0.234375
55,48,7.21875,0.6953125,1.609375
56,56,12.8984375,-1.09375,1.203125
57,56,5.1875,-1.8125,0.25
58,56,9.2265625,0.34375,0.703125
59,56,5.03125,-0.046875,1.46875
60,56,1.8515625,-1.6171875,0.0625
61,56,3.9609375,-0.8125,-0.5
62,56,6.375,-2.03125,0.046875
63,56,3.765625,-2.453125,-0.296875
64,64,4.5703125,-3.09375,-0.15625
65,64,3.7890625,-1.109375,-0.125
66,64,4.7109375,-0.296875,0.09375
67,64,-0.8046875,-2.859375,-0.40625
68,64,6.5625,0.859375,1.28125
69,64,8.609375,-2.234375,-0.359375
70,64,4.28125,-0.890625,0.546875
71,64,4.4296875,0.84375,0.703125
72,72,2.3671875,-1.5625,-0.3125
73,72,-0.2890625,-1.4921875,0.078125
74,72,3.578125,-3.7578125,0.03125
75,72,5.09375,-2.765625,-0.078125
76,72,6.796875,-0.125,0.921875
77,72,4.078125,-2.1796875,0.03125
78,72,6.484375,-1.2578125,0.40625
79,72,6.7265625,0.0625,2.3125
80,80,3.578125,-0.0625,0.53125
81,80,2.65625,1.875,1.5625
82,80,0.96875,-3.0625,-0.1875
83,80,11.2890625,2.59375,0.671875
84,80,5.6796875,-0.65625,1.15625
85,80,4.9921875,-0.046875,0.578125
86,80,10.65625,1.78125,1.140625
87,80,6.2109375,0.0625,1.078125
88,88,5.3046875,-0.640625,0.890625
89,88,8.140625,1.765625,0.65625
90,88,4.3984375,-2.1953125,-0.4375
91,88,3.1796875,-1.6875,1.53125
92,88,0.875,-2.4375,-0.296875
93,88,5.21875,-1.625,-0.125
94,88,4.4453125,0.828125,0.484375
95,88,12.5390625,3.1875,1.546875
96,96,6.6328125,-2.171875,-0.46875
97,96,5.4453125,-0.34375,0.8125
98,96,3.875,-1.015625,0.375
99,96,3.953125,-0.640625,-0.34375
100,96,3.7265625,2.34375,3.78125
101,96,5.484375,-0.4453125,1.34375
102,96,7.5390625,0.53125,1.046875
103,96,4.578125,0.9453125,1.234375
104,104,8.40625,2.40625,1.625
105,104,4.3828125,1.140625,0.046875
106,104,-0.609375,-0.15625,1.59375
107,104,6.2578125,-1.46875,0.203125
108,104,4.1484375,-1.78125,0.5
109,104,12.109375,0.3125,0.875
110,104,4.0859375,-2.859375,-0.734375
111,104,5.390625,-1.3125,0.078125
112,112,6.234375,-3.78125,-0.125
113,112,7.1484375,1.390625,0.34375
114,112,3.4765625,0.5625,1.046875
115,112,9.2265625,0.828125,2.359375
116,112,10.34375,0.921875,0.828125
117,112,6.171875,-1.265625,-0.125
118,112,10.6328125,-0.90625,0.703125
119,112,4.8671875,-2.9609375,0.484375
120,120,4.390625,-2.28125,0.078125
121,120,4.3515625,-1.9921875,-0.03125
122,120,6.5234375,-1.8046875,0.3125
123,120,6.203125,0.21875,0.359375
124,120,4.984375,-1.046875,0.25
125,120,9.3359375,0.40625,0.15625
126,120,-0.296875,-1.25,-0.078125
127,120,5.3359375,-1.046875,0.015625
128,128,5.65625,1.0625,1.5625
129,128,4.0234375,-0.5,0.78125
130,128,8.3125,0.015625,1.953125
131,128,9.953125,-0.59375,0.0
132,128,6.53125,-3.515625,-0.21875
133,128,1.8984375,-2.3125,0.1875
134,128,5.8359375,-1.234375,0.125
135,128,4.03125,-2.15625,0.671875
136,136,6.0234375,-0.515625,0.984375
137,136,5.3203125,-0.90625,0.484375
138,136,1.78125,-3.125,-0.328125
139,136,11.2734375,-2.921875,-0.265625
140,136,-1.2109375,-0.7890625,0.140625
141,136,7.21875,-0.875,0.703125
142,136,10.03125,-0.953125,-0.609375
143,136,2.5234375,-2.6484375,-0.265625
144,144,6.6484375,-0.65625,0.0625
145,144,7.34375,-1.34375,0.140625
146,144,3.7578125,-1.421875,-0.09375
147,144,2.2734375,-3.1484375,-0.5
148,144,4.1796875,-2.0,0.125
149,144,6.1328125,1.484375,0.234375
150,144,7.109375,0.53125,0.609375
151,144,3.421875,-0.96875,-0.25
152,152,11.96875,1.4375,1.734375
153,152,3.5703125,-2.578125,-0.59375
154,152,5.203125,-0.53125,-0.203125
155,152,3.546875,0.484375,0.375
156,152,9.046875,3.15625,0.578125
157,152,4.6015625,0.6875,0.484375
158,152,7.8359375,0.203125,0.296875
159,152,6.15625,-2.0078125,0.09375
160,160,8.0390625,-0.515625,0.421875
161,160,8.2578125,-3.0859375,-0.140625
162,160,3.765625,-3.3125,-0.0625
163,160,6.71875,-1.65625,0.3125
164,160,6.484375,-3.1875,-0.125
165,160,8.6015625,-1.0,-0.203125
166,160,7.328125,-1.640625,0.25
167,160,10.109375,0.03125,0.5625
168,168,4.0234375,-2.203125,0.171875
169,168,4.25,-2.109375,0.125
170,168,9.40625,2.765625,1.859375
171,168,7.9921875,2.40625,0.28125
172,168,8.40625,1.953125,4.9765625
173,168,9.90625,2.078125,1.046875
174,168,4.6953125,-2.7265625,-0.3125
175,168,4.921875,-2.84375,-0.015625
176,176,1.953125,0.609375,0.796875
177,176,8.5703125,3.234375,2.71875
178,176,9.1328125,-1.125,0.15625
179,176,4.8828125,-0.515625,0.765625
180,176,5.8359375,-1.1328125,0.71875
181,176,4.5546875,-1.453125,-0.296875
182,176,5.4296875,-3.453125,-0.28125
183,176,4.0546875,0.03125,0.328125
184,184,3.78125,-2.234375,0.03125
185,184,8.1953125,0.546875,-0.109375
186,184,7.6953125,0.640625,0.46875
187,184,3.6171875,-4.015625,-0.140625
188,184,-2.5234375,-1.3515625,0.015625
189,184,5.890625,-3.296875,-0.359375
190,184,5.421875,-1.84375,0.5625
191,184,11.59375,0.125,1.0625
192,192,6.84375,0.4375,0.1875
193,192,5.71875,0.359375,0.609375
194,192,3.5546875,0.03125,0.40625
195,192,7.984375,-0.140625,0.0625
196,192,2.7421875,0.53125,0.5625
197,192,10.140625,1.46875,-0.015625
198,192,8.1015625,-3.3359375,-0.1875
199,192,10.96875,-0.421875,0.859375
200,200,5.1953125,-0.734375,0.890625
201,200,4.71875,-1.6875,-0.09375
202,200,5.609375,-2.1875,0.1875
203,200,4.953125,-0.359375,-0.078125
204,200,5.7578125,-0.78125,0.40625
205,200,5.046875,1.21875,1.828125
206,200,7.453125,-0.53125,0.59375
207,200,9.125,1.203125,2.078125
208,208,5.015625,-3.4296875,0.421875
209,208,5.6484375,-2.46875,-0.109375
210,208,2.8984375,-1.765625,0.296875
211,208,6.65625,-3.5390625,-0.296875
212,208,0.5625,-3.046875,0.171875
213,208,6.5625,1.34375,1.78125
214,208,1.109375,-2.8125,-0.1875
215,208,8.5703125,2.59375,2.125
216,216,6.7109375,-0.71875,0.234375
217,216,6.2734375,-1.046875,-0.046875
218,216,5.703125,-0.9375,1.015625
219,216,7.9140625,1.390625,0.984375
